blueprint,file,func:line,methods,kind,status,models,enforced_by
stock_check,stock_check/routes.py,create:103,"GET,POST",READ,OK,Category;Inventory;Material,current_project_id
stock_check,stock_check/routes.py,index:54,GET,READ,OK,StockCheck,current_project_id
stock_in,stock_in/routes.py,api_contracts_by_project:952,GET,READ,OK,Contract,current_project_id
stock_in,stock_in/routes.py,batch_delete:1081,POST,WRITE,OK,StockIn,current_project_id
stock_in,stock_in/routes.py,batch_export:1128,GET,READ,OK,StockIn,current_project_id
stock_in,stock_in/routes.py,create:233,"GET,POST",READ,OK,Contract;Material;StockIn,current_project_id
stock_in,stock_in/routes.py,export:917,GET,READ,OK,StockIn,current_project_id
stock_out,stock_out/routes.py,batch_delete:881,POST,WRITE,OK,StockOut,current_project_id
stock_out,stock_out/routes.py,batch_export:921,GET,READ,OK,StockOut,current_project_id
stock_out,stock_out/routes.py,create:299,"GET,POST",READ,OK,Material;MaterialQuota;StockOut;UsageUnit;WorkNumber,current_project_id
stock_out,stock_out/routes.py,export:795,GET,READ,OK,StockOut,current_project_id
stock_out,stock_out/routes.py,index:237,GET,READ,OK,StockOut;UsageUnit,current_project_id
subcontract,subcontract/routes.py,generate:67,"GET,POST",READ,OK,SubcontractDeduction,current_project_id
subcontract,subcontract/routes.py,index:33,GET,READ,OK,SubcontractDeduction;UsageUnit,current_project_id
subcontract,subcontract/routes.py,units:471,GET,READ,OK,UsageUnit,current_project_id
supplier,supplier/routes.py,api_add_to_project:283,POST,WRITE,OK,Supplier,current_project_id
supplier,supplier/routes.py,api_expiring_suppliers:758,GET,READ,OK,Supplier,current_project_id
supplier,supplier/routes.py,import_excel:490,POST,WRITE,OK,ProjectSupplier;Supplier,current_project_id
supplier,supplier/routes.py,index:41,GET,READ,OK,ProjectSupplier;Supplier,current_project_id
supplier,supplier/routes.py,ledger:809,GET,READ,OK,Invoice;Payment;Reconciliation;StockIn;Supplier,current_project_id
supplier,supplier/routes.py,remove_from_project:258,POST,WRITE,OK,Supplier,current_project_id
turnover_material,turnover_material/routes.py,api_inventory:246,GET,READ,OK,Inventory;TurnoverInventory,current_project_id
turnover_material,turnover_material/routes.py,index:24,GET,READ,OK,Material;TurnoverMaterial,current_project_id
unit,unit/routes.py,index:42,GET,READ,OK,UsageUnit,current_project_id
work_number,work_number/routes.py,add_item:126,"GET,POST",READ,OK,WorkNumber,current_project_id
work_number,work_number/routes.py,add_quota:246,POST,WRITE,OK,MaterialQuota;WorkNumber,current_project_id
work_number,work_number/routes.py,api_quota_check:306,GET,READ,OK,MaterialQuota,current_project_id
work_number,work_number/routes.py,detail:160,GET,READ,OK,Material;MaterialQuota;WorkNumber,current_project_id
work_number,work_number/routes.py,index:73,GET,READ,OK,WorkNumber,current_project_id
